#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.10027,       1034,          0,          0, (null)
   0.11041,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.18420,       2107,          1,          0, (null)
   0.18976,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.39028,       3402,          2,          0, (null)
   0.39555,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   0.48874,       4675,          3,          0, (null)
   0.49419,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   0.67382,       8752,          4,          0, (null)
   0.67392,      12848,          4,          0, (null)
   0.67393,      16944,          4,          0, (null)
   0.67393,      21040,          4,          0, (null)
   0.67394,      25136,          4,          0, (null)
   0.67394,      29232,          4,          0, (null)
   0.67395,      33328,          4,          0, (null)
   0.67395,      37424,          4,          0, (null)
   0.67396,      41520,          4,          0, (null)
   0.67396,      45616,          4,          0, (null)
   0.67397,      49712,          4,          0, (null)
   0.67397,      53808,          4,          0, (null)
   0.67397,      57904,          4,          0, (null)
   0.67398,      62000,          4,          0, (null)
   0.67398,      66096,          4,          0, (null)
   0.67399,      70192,          4,          0, (null)
   0.67399,      74288,          4,          0, (null)
   0.67400,      78384,          4,          0, (null)
   0.67400,      82480,          4,          0, (null)
   0.67401,      86576,          4,          0, (null)
   0.67401,      90672,          4,          0, (null)
   0.67402,      94768,          4,          0, (null)
   0.67402,      98864,          4,          0, (null)
   0.67403,     102960,          4,          0, (null)
   0.67403,     107056,          4,          0, (null)
   0.67404,     111152,          4,          0, (null)
   0.67404,     115248,          4,          0, (null)
   0.67405,     119344,          4,          0, (null)
   0.67405,     123440,          4,          0, (null)
   0.67406,     127536,          4,          0, (null)
   0.67406,     131632,          4,          0, (null)
   0.67407,     135728,          4,          0, (null)
   0.67407,     139824,          4,          0, (null)
   0.67408,     143920,          4,          0, (null)
   0.67408,     148016,          4,          0, (null)
   0.67409,     152112,          4,          0, (null)
   0.67409,     156208,          4,          0, (null)
   0.67409,     160304,          4,          0, (null)
   0.67410,     164400,          4,          0, (null)
   0.67410,     168496,          4,          0, (null)
   0.67411,     172592,          4,          0, (null)
   0.67411,     176688,          4,          0, (null)
   0.67412,     180784,          4,          0, (null)
   0.67412,     184880,          4,          0, (null)
   0.67413,     188976,          4,          0, (null)
   0.67413,     193072,          4,          0, (null)
   0.67414,     197168,          4,          0, (null)
   0.67414,     201264,          4,          0, (null)
   0.67415,     205360,          4,          0, (null)
   0.67415,     209456,          4,          0, (null)
   0.67416,     213552,          4,          0, (null)
   0.67416,     217648,          4,          0, (null)
   0.67417,     221744,          4,          0, (null)
   0.67417,     225840,          4,          0, (null)
   0.67418,     229936,          4,          0, (null)
   0.67418,     234032,          4,          0, (null)
   0.67419,     237849,          4,          0, (null)
   0.67945,     237849,          5,          0, /courses/ud923/filecorpus/paraglider.jpg
   0.80113,     241926,          5,          0, (null)
   0.80121,     246022,          5,          0, (null)
   0.80122,     250118,          5,          0, (null)
   0.80123,     254214,          5,          0, (null)
   0.80124,     258310,          5,          0, (null)
   0.80125,     262406,          5,          0, (null)
   0.80125,     266502,          5,          0, (null)
   0.80126,     270598,          5,          0, (null)
   0.80126,     274694,          5,          0, (null)
   0.80127,     278790,          5,          0, (null)
   0.80127,     282886,          5,          0, (null)
   0.80128,     286982,          5,          0, (null)
   0.80128,     291078,          5,          0, (null)
   0.80129,     295174,          5,          0, (null)
   0.80129,     299270,          5,          0, (null)
   0.80129,     303366,          5,          0, (null)
   0.80130,     307462,          5,          0, (null)
   0.80130,     311558,          5,          0, (null)
   0.80131,     315654,          5,          0, (null)
   0.80131,     319750,          5,          0, (null)
   0.80132,     323846,          5,          0, (null)
   0.80132,     327942,          5,          0, (null)
   0.80133,     332038,          5,          0, (null)
   0.80133,     336134,          5,          0, (null)
   0.80134,     340230,          5,          0, (null)
   0.80134,     344326,          5,          0, (null)
   0.80135,     348422,          5,          0, (null)
   0.80135,     352518,          5,          0, (null)
   0.80136,     356614,          5,          0, (null)
   0.80136,     360710,          5,          0, (null)
   0.80137,     364806,          5,          0, (null)
   0.80137,     368902,          5,          0, (null)
   0.80137,     372998,          5,          0, (null)
   0.80138,     376026,          5,          0, (null)
   0.80853,     376026,          6,          0, /courses/ud923/filecorpus/road.jpg
   0.90725,     380103,          6,          0, (null)
   0.90734,     384199,          6,          0, (null)
   0.90735,     388295,          6,          0, (null)
   0.90735,     392391,          6,          0, (null)
   0.90736,     396487,          6,          0, (null)
   0.90736,     400583,          6,          0, (null)
   0.90737,     404679,          6,          0, (null)
   0.90737,     408775,          6,          0, (null)
   0.90738,     412871,          6,          0, (null)
   0.90738,     416967,          6,          0, (null)
   0.90739,     421063,          6,          0, (null)
   0.90739,     425159,          6,          0, (null)
   0.90740,     429255,          6,          0, (null)
   0.90740,     433351,          6,          0, (null)
   0.90741,     437447,          6,          0, (null)
   0.90741,     441543,          6,          0, (null)
   0.90741,     445639,          6,          0, (null)
   0.90742,     449735,          6,          0, (null)
   0.90742,     453831,          6,          0, (null)
   0.90743,     457927,          6,          0, (null)
   0.90743,     462023,          6,          0, (null)
   0.90744,     466119,          6,          0, (null)
   0.90744,     470215,          6,          0, (null)
   0.90745,     474311,          6,          0, (null)
   0.90745,     478407,          6,          0, (null)
   0.90746,     480270,          6,          0, (null)
   0.91549,     480270,          7,          0, /courses/ud923/filecorpus/yellowstone.jpg
   1.11950,     484347,          7,          0, (null)
   1.11959,     488443,          7,          0, (null)
   1.11960,     492539,          7,          0, (null)
   1.11960,     496635,          7,          0, (null)
   1.11961,     500731,          7,          0, (null)
   1.11961,     504827,          7,          0, (null)
   1.11962,     508923,          7,          0, (null)
   1.11962,     513019,          7,          0, (null)
   1.11963,     517115,          7,          0, (null)
   1.11963,     521211,          7,          0, (null)
   1.11964,     525307,          7,          0, (null)
   1.11964,     529403,          7,          0, (null)
   1.11965,     533499,          7,          0, (null)
   1.11965,     537595,          7,          0, (null)
   1.11966,     541691,          7,          0, (null)
   1.11966,     545787,          7,          0, (null)
   1.11966,     549883,          7,          0, (null)
   1.11966,     553979,          7,          0, (null)
   1.11966,     558075,          7,          0, (null)
   1.11966,     562171,          7,          0, (null)
   1.11966,     566267,          7,          0, (null)
   1.11966,     570363,          7,          0, (null)
   1.11966,     574459,          7,          0, (null)
   1.11966,     578555,          7,          0, (null)
   1.11966,     582651,          7,          0, (null)
   1.11966,     586747,          7,          0, (null)
   1.11966,     590843,          7,          0, (null)
   1.11966,     594939,          7,          0, (null)
   1.11966,     599035,          7,          0, (null)
   1.11966,     603131,          7,          0, (null)
   1.11966,     607227,          7,          0, (null)
   1.11966,     611323,          7,          0, (null)
   1.11966,     615419,          7,          0, (null)
   1.11966,     619515,          7,          0, (null)
   1.11966,     623611,          7,          0, (null)
   1.11966,     627707,          7,          0, (null)
   1.11966,     631803,          7,          0, (null)
   1.11966,     635899,          7,          0, (null)
   1.11966,     639995,          7,          0, (null)
   1.11966,     644091,          7,          0, (null)
   1.11967,     648187,          7,          0, (null)
   1.11967,     652283,          7,          0, (null)
   1.11968,     656379,          7,          0, (null)
   1.11968,     660475,          7,          0, (null)
   1.11969,     664571,          7,          0, (null)
   1.11969,     668667,          7,          0, (null)
   1.11970,     672763,          7,          0, (null)
   1.11970,     676859,          7,          0, (null)
   1.11971,     680955,          7,          0, (null)
   1.11971,     685051,          7,          0, (null)
   1.11971,     689147,          7,          0, (null)
   1.11972,     693243,          7,          0, (null)
   1.11972,     697339,          7,          0, (null)
   1.11973,     701435,          7,          0, (null)
   1.11973,     705531,          7,          0, (null)
   1.11974,     709627,          7,          0, (null)
   1.11974,     713723,          7,          0, (null)
   1.11975,     717819,          7,          0, (null)
   1.11975,     721915,          7,          0, (null)
   1.11976,     726011,          7,          0, (null)
   1.11976,     730107,          7,          0, (null)
   1.11977,     734203,          7,          0, (null)
   1.11977,     738299,          7,          0, (null)
   1.11977,     742395,          7,          0, (null)
   1.11978,     746491,          7,          0, (null)
   1.11978,     750587,          7,          0, (null)
   1.11979,     754683,          7,          0, (null)
   1.11979,     758779,          7,          0, (null)
   1.11980,     762875,          7,          0, (null)
   1.11980,     766971,          7,          0, (null)
   1.11981,     771067,          7,          0, (null)
   1.11981,     775163,          7,          0, (null)
   1.11982,     779259,          7,          0, (null)
   1.11982,     783355,          7,          0, (null)
   1.11983,     787451,          7,          0, (null)
   1.11983,     791547,          7,          0, (null)
   1.11983,     795643,          7,          0, (null)
   1.11984,     799739,          7,          0, (null)
   1.11984,     803835,          7,          0, (null)
   1.11985,     807931,          7,          0, (null)
   1.11985,     812027,          7,          0, (null)
   1.11986,     816123,          7,          0, (null)
   1.11986,     820219,          7,          0, (null)
   1.11987,     824315,          7,          0, (null)
   1.11987,     828411,          7,          0, (null)
   1.11987,     832507,          7,          0, (null)
   1.11988,     836603,          7,          0, (null)
   1.11988,     840699,          7,          0, (null)
   1.11989,     844795,          7,          0, (null)
   1.11989,     848891,          7,          0, (null)
   1.11990,     852987,          7,          0, (null)
   1.11991,     857083,          7,          0, (null)
   1.11991,     861179,          7,          0, (null)
   1.11992,     865275,          7,          0, (null)
   1.11992,     869371,          7,          0, (null)
   1.11993,     873467,          7,          0, (null)
   1.11993,     877563,          7,          0, (null)
   1.11994,     881659,          7,          0, (null)
   1.11994,     885755,          7,          0, (null)
   1.11994,     889851,          7,          0, (null)
   1.11995,     893947,          7,          0, (null)
