#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.11703,       1034,          0,          0, (null)
   0.13159,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.21998,       2107,          1,          0, (null)
   0.22715,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.28766,       3402,          2,          0, (null)
   0.29181,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   0.36728,       4675,          3,          0, (null)
   0.37355,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   0.51108,       8752,          4,          0, (null)
   0.51117,      12848,          4,          0, (null)
   0.51118,      16944,          4,          0, (null)
   0.51119,      21040,          4,          0, (null)
   0.51119,      25136,          4,          0, (null)
   0.51120,      29232,          4,          0, (null)
   0.51120,      33328,          4,          0, (null)
   0.51121,      37424,          4,          0, (null)
   0.51121,      41520,          4,          0, (null)
   0.51122,      45616,          4,          0, (null)
   0.51122,      49712,          4,          0, (null)
   0.51123,      53808,          4,          0, (null)
   0.51123,      57904,          4,          0, (null)
   0.51123,      62000,          4,          0, (null)
   0.51124,      66096,          4,          0, (null)
   0.51124,      70192,          4,          0, (null)
   0.51125,      74288,          4,          0, (null)
   0.51125,      78384,          4,          0, (null)
   0.51126,      82480,          4,          0, (null)
   0.51126,      86576,          4,          0, (null)
   0.51127,      90672,          4,          0, (null)
   0.51127,      94768,          4,          0, (null)
   0.51128,      98864,          4,          0, (null)
   0.51128,     102960,          4,          0, (null)
   0.51129,     107056,          4,          0, (null)
   0.51129,     111152,          4,          0, (null)
   0.51129,     115248,          4,          0, (null)
   0.51130,     119344,          4,          0, (null)
   0.51130,     123440,          4,          0, (null)
   0.51131,     127536,          4,          0, (null)
   0.51131,     131632,          4,          0, (null)
   0.51132,     135728,          4,          0, (null)
   0.51132,     139824,          4,          0, (null)
   0.51133,     143920,          4,          0, (null)
   0.51133,     148016,          4,          0, (null)
   0.51134,     152112,          4,          0, (null)
   0.51134,     156208,          4,          0, (null)
   0.51135,     160304,          4,          0, (null)
   0.51135,     164400,          4,          0, (null)
   0.51135,     168496,          4,          0, (null)
   0.51136,     172592,          4,          0, (null)
   0.51136,     176688,          4,          0, (null)
   0.51137,     180784,          4,          0, (null)
   0.51137,     184880,          4,          0, (null)
   0.51138,     188976,          4,          0, (null)
   0.51138,     193072,          4,          0, (null)
   0.51138,     197168,          4,          0, (null)
   0.51139,     201264,          4,          0, (null)
   0.51139,     205360,          4,          0, (null)
   0.51140,     209456,          4,          0, (null)
   0.51140,     213552,          4,          0, (null)
   0.51193,     217648,          4,          0, (null)
   0.51195,     221744,          4,          0, (null)
   0.51196,     225840,          4,          0, (null)
   0.51197,     229936,          4,          0, (null)
   0.51198,     234032,          4,          0, (null)
   0.51199,     237849,          4,          0, (null)
   0.51634,     237849,          5,          0, /courses/ud923/filecorpus/paraglider.jpg
   0.75464,     241926,          5,          0, (null)
   0.75475,     246022,          5,          0, (null)
   0.75476,     250118,          5,          0, (null)
   0.75477,     254214,          5,          0, (null)
   0.75478,     258310,          5,          0, (null)
   0.75479,     262406,          5,          0, (null)
   0.75479,     266502,          5,          0, (null)
   0.75480,     270598,          5,          0, (null)
   0.75480,     274694,          5,          0, (null)
   0.75481,     278790,          5,          0, (null)
   0.75481,     282886,          5,          0, (null)
   0.75482,     286982,          5,          0, (null)
   0.75482,     291078,          5,          0, (null)
   0.75483,     295174,          5,          0, (null)
   0.75483,     299270,          5,          0, (null)
   0.75484,     303366,          5,          0, (null)
   0.75484,     307462,          5,          0, (null)
   0.75484,     311558,          5,          0, (null)
   0.75485,     315654,          5,          0, (null)
   0.75485,     319750,          5,          0, (null)
   0.75488,     323846,          5,          0, (null)
   0.75489,     327942,          5,          0, (null)
   0.75489,     332038,          5,          0, (null)
   0.75490,     336134,          5,          0, (null)
   0.75490,     340230,          5,          0, (null)
   0.75491,     344326,          5,          0, (null)
   0.75491,     348422,          5,          0, (null)
   0.75492,     352518,          5,          0, (null)
   0.75492,     356614,          5,          0, (null)
   0.75493,     360710,          5,          0, (null)
   0.75493,     364806,          5,          0, (null)
   0.75493,     368902,          5,          0, (null)
   0.75494,     372998,          5,          0, (null)
   0.75494,     376026,          5,          0, (null)
   0.75931,     376026,          6,          0, /courses/ud923/filecorpus/road.jpg
   1.00705,     380103,          6,          0, (null)
   1.00709,     384199,          6,          0, (null)
   1.00709,     388295,          6,          0, (null)
   1.00710,     392391,          6,          0, (null)
   1.00710,     396487,          6,          0, (null)
   1.00711,     400583,          6,          0, (null)
   1.00711,     404679,          6,          0, (null)
   1.00712,     408775,          6,          0, (null)
   1.00712,     412871,          6,          0, (null)
   1.00713,     416967,          6,          0, (null)
   1.00713,     421063,          6,          0, (null)
   1.00714,     425159,          6,          0, (null)
   1.00714,     429255,          6,          0, (null)
   1.00715,     433351,          6,          0, (null)
   1.00715,     437447,          6,          0, (null)
   1.00715,     441543,          6,          0, (null)
   1.00716,     445639,          6,          0, (null)
   1.00716,     449735,          6,          0, (null)
   1.00717,     453831,          6,          0, (null)
   1.00717,     457927,          6,          0, (null)
   1.00718,     462023,          6,          0, (null)
   1.00718,     466119,          6,          0, (null)
   1.00718,     470215,          6,          0, (null)
   1.00719,     474311,          6,          0, (null)
   1.00719,     478407,          6,          0, (null)
   1.00720,     480270,          6,          0, (null)
   1.01197,     480270,          7,          0, /courses/ud923/filecorpus/yellowstone.jpg
   1.23379,     484347,          7,          0, (null)
   1.23383,     488443,          7,          0, (null)
   1.23384,     492539,          7,          0, (null)
   1.23385,     496635,          7,          0, (null)
   1.23385,     500731,          7,          0, (null)
   1.23386,     504827,          7,          0, (null)
   1.23386,     508923,          7,          0, (null)
   1.23387,     513019,          7,          0, (null)
   1.23387,     517115,          7,          0, (null)
   1.23387,     521211,          7,          0, (null)
   1.23388,     525307,          7,          0, (null)
   1.23389,     529403,          7,          0, (null)
   1.23389,     533499,          7,          0, (null)
   1.23389,     537595,          7,          0, (null)
   1.23390,     541691,          7,          0, (null)
